Timestamp,Lamp Status,Lamp Brightness,Movement,Light (Lux)
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 22:48:,Status:0 , Brightness:0 , Motion:1 , Ambient Light (lux):0.00
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,0 , 0 , 1 , 0
21 23:04:,1 , 3 , 0 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:04:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 3 , 1 , 0
21 23:05:,1 , 2 , 0 , 1
21 23:05:,1 , 1 , 0 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 1
21 23:05:,1 , 1 , 1 , 3
21 23:05:,1 , 1 , 1 , 3
21 23:05:,1 , 1 , 1 , 6
21 23:05:,1 , 1 , 1 , 6
21 23:05:,1 , 1 , 1 , 1
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 0
21 23:05:,1 , 1 , 1 , 18
21 23:05:,1 , 1 , 1 , 18
21 23:05:,1 , 1 , 1 , 21
21 23:05:,1 , 1 , 1 , 26
21 23:05:,1 , 1 , 1 , 42
21 23:05:,1 , 1 , 1 , 40
21 23:05:,1 , 1 , 1 , 38
21 23:05:,1 , 1 , 1 , 41
21 23:05:,1 , 1 , 1 , 44
21 23:05:,1 , 1 , 1 , 46
21 23:05:,1 , 1 , 1 , 49
21 23:05:,1 , 1 , 1 , 49
21 23:05:,1 , 1 , 1 , 49
21 23:05:,1 , 1 , 1 , 47
21 23:05:,1 , 1 , 1 , 48
21 23:05:,1 , 1 , 1 , 46
21 23:05:,1 , 1 , 1 , 48
21 23:05:,1 , 1 , 1 , 45
21 23:05:,0 , 1 , 0 , 57
21 23:05:,0 , 0 , 0 , 56
21 23:05:,0 , 0 , 0 , 156
21 23:05:,0 , 0 , 1 , 151
21 23:05:,0 , 0 , 1 , 159
21 23:05:,0 , 0 , 0 , 259
21 23:05:,0 , 0 , 1 , 260
21 23:05:,0 , 0 , 0 , 160
21 23:05:,0 , 0 , 0 , 260
21 23:05:,0 , 0 , 1 , 345
21 23:05:,0 , 0 , 0 , 245
21 23:05:,0 , 0 , 0 , 345
21 23:05:,0 , 0 , 0 , 445
21 23:05:,0 , 0 , 0 , 545
21 23:05:,0 , 0 , 1 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 0 , 595
21 23:05:,0 , 0 , 0 , 695
21 23:05:,0 , 0 , 1 , 636
21 23:05:,0 , 0 , 1 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 1 , 475
21 23:05:,0 , 0 , 0 , 575
21 23:05:,0 , 0 , 0 , 675
21 23:05:,0 , 0 , 1 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 0 , 1058
21 23:05:,0 , 0 , 0 , 958
21 23:05:,0 , 0 , 1 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 0 , 1034
21 23:05:,0 , 0 , 0 , 1134
21 23:05:,0 , 0 , 1 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 0 , 995
21 23:05:,0 , 0 , 0 , 1095
21 23:05:,0 , 0 , 1 , 439
21 23:05:,0 , 0 , 0 , 539
21 23:05:,0 , 0 , 1 , 905
21 23:05:,0 , 0 , 1 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 0 , 765
21 23:05:,0 , 0 , 0 , 865
21 23:05:,0 , 0 , 1 , 874
21 23:05:,0 , 0 , 1 , 402
21 23:05:,0 , 0 , 0 , 302
21 23:05:,0 , 0 , 0 , 402
21 23:05:,0 , 0 , 0 , 302
21 23:05:,0 , 0 , 1 , 356
21 23:05:,0 , 0 , 0 , 256
21 23:05:,0 , 0 , 0 , 356
21 23:05:,0 , 0 , 1 , 361
21 23:05:,0 , 0 , 1 , 369
21 23:05:,0 , 0 , 0 , 469
21 23:05:,0 , 0 , 0 , 569
21 23:05:,0 , 0 , 1 , 1006
21 23:05:,0 , 0 , 1 , 436
21 23:05:,0 , 0 , 0 , 336
21 23:05:,0 , 0 , 0 , 436
21 23:05:,0 , 0 , 1 , 442
21 23:05:,0 , 0 , 0 , 342
21 23:05:,0 , 0 , 0 , 442
21 23:05:,0 , 0 , 1 , 388
21 23:05:,0 , 0 , 1 , 371
21 23:05:,0 , 0 , 1 , 369
21 23:05:,0 , 0 , 1 , 388
21 23:05:,0 , 0 , 1 , 450
21 23:05:,0 , 0 , 0 , 350
21 23:05:,0 , 0 , 1 , 378
21 23:05:,0 , 0 , 1 , 545
21 23:05:,0 , 0 , 1 , 602
21 23:05:,0 , 0 , 1 , 360
21 23:05:,0 , 0 , 0 , 260
21 23:05:,0 , 0 , 1 , 374
21 23:05:,0 , 0 , 0 , 274
21 23:05:,0 , 0 , 1 , 361
21 23:05:,0 , 0 , 0 , 261
21 23:05:,0 , 0 , 0 , 361
21 23:05:,0 , 0 , 0 , 261
21 23:05:,0 , 0 , 0 , 361
21 23:05:,0 , 0 , 1 , 379
21 23:05:,0 , 0 , 1 , 456
21 23:05:,0 , 0 , 1 , 453
21 23:05:,0 , 0 , 1 , 479
21 23:05:,0 , 0 , 0 , 379
21 23:05:,0 , 0 , 1 , 365
21 23:05:,0 , 0 , 1 , 376
21 23:05:,0 , 0 , 1 , 391
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 391
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 0 , 491
21 23:05:,0 , 0 , 0 , 591
21 23:05:,0 , 0 , 1 , 577
21 23:05:,0 , 0 , 1 , 1011
21 23:05:,0 , 0 , 1 , 874
21 23:05:,0 , 0 , 1 , 580
21 23:05:,0 , 0 , 0 , 480
21 23:05:,0 , 0 , 0 , 580
21 23:05:,0 , 0 , 1 , 713
21 23:05:,0 , 0 , 0 , 813
21 23:05:,0 , 0 , 0 , 713
21 23:05:,0 , 0 , 0 , 813
21 23:05:,0 , 0 , 0 , 713
21 23:05:,0 , 0 , 0 , 813
21 23:05:,0 , 0 , 0 , 713
21 23:05:,0 , 0 , 0 , 813
21 23:05:,0 , 0 , 0 , 713
21 23:05:,0 , 0 , 0 , 813
21 23:05:,0 , 0 , 0 , 713
21 23:05:,0 , 0 , 1 , 355
21 23:05:,0 , 0 , 1 , 356
21 23:05:,0 , 0 , 1 , 367
21 23:05:,0 , 0 , 1 , 371
21 23:05:,0 , 0 , 1 , 382
21 23:05:,0 , 0 , 1 , 405
21 23:05:,0 , 0 , 0 , 505
21 23:05:,0 , 0 , 0 , 405
21 23:05:,0 , 0 , 0 , 505
21 23:05:,0 , 0 , 0 , 405
21 23:05:,0 , 0 , 0 , 505
21 23:05:,0 , 0 , 0 , 405
21 23:06:,0 , 0 , 1 , 367
21 23:06:,0 , 0 , 1 , 356
21 23:06:,0 , 0 , 1 , 356
21 23:06:,0 , 0 , 1 , 379
21 23:06:,0 , 0 , 1 , 377
21 23:06:,0 , 0 , 1 , 392
21 23:06:,0 , 0 , 1 , 388
21 23:06:,0 , 0 , 1 , 411
21 23:06:,0 , 0 , 1 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 726
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 526
21 23:06:,0 , 0 , 0 , 626
21 23:06:,0 , 0 , 0 , 526
21 23:06:,0 , 0 , 1 , 490
21 23:06:,0 , 0 , 1 , 435
21 23:06:,0 , 0 , 1 , 452
21 23:06:,0 , 0 , 1 , 439
21 23:06:,0 , 0 , 1 , 466
21 23:06:,0 , 0 , 1 , 463
21 23:06:,0 , 0 , 1 , 415
21 23:06:,0 , 0 , 1 , 402
21 23:06:,0 , 0 , 1 , 417
21 23:06:,0 , 0 , 1 , 399
21 23:06:,0 , 0 , 1 , 575
21 23:06:,0 , 0 , 0 , 475
21 23:06:,0 , 0 , 0 , 575
